TOBC5,BETACARD-50MG TAB,2172F003,,,,,,
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0027,,,,,,
DPKTA,KETOROL AMP,V0115,,,,,,
ISFBP,FEBREX PLUS TAB,FEK2EBC4,,,,,,
ISFBP,FEBREX PLUS TAB,FEK2EBC4,,,,,,
MIDPT,DOLOPAR TAB***,DOCS0117,,,,,,
USGM2,GLYCOMET 250MG TABS **,28020627,,,,,,
USGM2,GLYCOMET 250MG TABS **,28020626,,,,,,
USGM5,GLYCOMET 500MG TABS **,28020705,,,,,,
USGGP,GLYCOMET-GP 1MG **,28020626,,,,,,
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0031,,,,,,
RAZFO,ZOLE-F OINTMENT,G34020,,,,,,
DPKTA,KETOROL AMP,V0082,,,,,,
INCTS,CITAL SYR,CNB6DBC7,,,,,,
ISFBP,FEBREX PLUS TAB,FEK2DBC4,,,,,,
ISFBP,FEBREX PLUS TAB,FEK10DBC4,,,,,,
IVCS1,CAL SHAKTI,T2000531,,,,,,
UQNR1,NICARDIA-RTD 10MG T,ACG0006,,,,,,
UQNR1,NICARDIA-RTD 10MG T,ACG20006,,,,,,
SNOT2,OXETOL 300MG TABS **,EMX1037,,,,,,
AJMTX,MET XL 25 TABS**,GT0380D,,,,,,
AJMTX,MET XL 25 TABS**,GT0390D,,,,,,
RAZFO,ZOLE-F OINTMENT,G30520,,,,,,
SDNNA,NAPROSYN 500MG TABS**,02N20037,,,,,,
SDNNA,NAPROSYN 500MG TABS**,02N20042,,,,,,
H&HDER,DERMADEW SOAP,B213,,,,,,
VERFT,FEPANIL 650 TAB,FCTS20D05,,,,,,
CCAT4,ASTHALIN 4MG TAB,K400054,,,,,,
BTISG,INSUGEN-30/70 INJ,19ITF40002,,,,,,
BTISG,INSUGEN-30/70 INJ,V19ITF4000,,,,,,
INCTS,CITAL SYR,CNB6CBA1,,,,,,
IVCS1,CAL SHAKTI,T2000530,,,,,,
MASRD,SERAX-D TAB,KW20001,,,,,,
IPCALAR,LARIAGO AMP **,DS120001D,,,,,,
IPCALAR,LARIAGO AMP **,DS120004D,,,,,,
IPCALAR,LARIAGO AMP **,DS12003D,,,,,,
SPCXT,COFEX TAB,21TCF036,,,,,,
VERFP,FEPANIL TABS,FTV20C07,,,,,,
CYDXT,DEXONA TAB,BEW1088,,,,,,
CCAT4,ASTHALIN 4MG TAB,K400041,,,,,,
DPKDT,KETOROL-DT TAB,E000289,,,,,,
DRNS2,NISE TAB,E000233,,,,,,
DRNS2,NISE TAB,E000323,,,,,,
MLOGM,ORCERIN-GM TABS,KOO2003A,,,,,,
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0013,,,,,,
KNCFP,CREMAFFIN PLUS SYR,140559D7,,,,,,
KNDOT,DIGENE ORANGE TAB,140110D7,,,,,,
KLPT2,PROTHIADEN 25MG TAB,ADF0057,,,,,,
AVT24,VERTIN 24MG TAB,RBIC0001,,,,,,
AVT24,VERTIN 24MG TAB,RBIC0001A,,,,,,
ACACD,ATECARD-D TAB,2008000188,,,,,,
GUSPS,SEPTRAN (P) SYR,SDS11B20,,,,,,
PTAZ5,AZEE 500MG TAB,SN00452,,,,,,
DRAT2,ATARAX SYRUP,LI0320015,,,,,,
ERGSM2,GLIMISAVE M2 TAB,GGLV20004,,,,,,
ERGSM2,GLIMISAVE M2 TAB,GGLV20005,,,,,,
ERGLS,GLIMISAVE M3 TAB,GGIM20002,,,,,,
ERIME,METAFORT G 853 TABS,GMOG20001,,,,,,
GECP6,CALPOL 650MG TABS,EB439,,,,,,
INTZT,TRIZ TAB,TBA1BB3,,,,,,
FTSCF,SUCRAFIL SYRUP ***,G3053,,,,,,
MADMS,DM SYRUP,BM10007,,,,,,
MASX5,SERAX 5MG TAB,KK20001,,,,,,
MASF1,SERAX FORTE 10MG TAB,KL20001,,,,,,
MASDT,SPANDRIL TAB,BM21003,,,,,,
MEDKSB,KETO SOAP (BIG),HKS1142,,,,,,
CBTT2,TEGRITAL 200MG TAB,210CPAO0,,,,,,
CBTT4,TEGRITAL 400MG TABS,202CPAN0,,,,,,
IPCALAR,LARIAGO AMP **,DS120003D,,,,,,
GNTML,TELMA-H TABS 30`S,18200122,,,,,,
HOLSA,LASIX AMP,2120012,,,,,,
HMCTT,CYSTONE TAB,192000200,,,,,,
UCUF8,UNICARBAZAN FORTE TABS,2FU5G001,,,,,,
VERFT,FEPANIL 650 TAB,FCTV20B07,,,,,,
WLCMD,COLIMEX DROPS,CRR006A,,,,,,
CYAT5,ATEN 50MG TAB,I000557,,,,,,
GMJNA,JONAC AMP,CJW1022,,,,,,
GMJNA,JONAC AMP,CJW1023,,,,,,
GRCC1,CANDID CREAM,11190327,,,,,,
CSB4R,BUDECORT 400MG R CAP,BA00215,,,,,,
CIPD10,DYTOR 40MG TABS,SN00093,,,,,,
CSF2I,FORACORT 200 CFC INH,SN00229,,,,,,
GECZT,CETZINE TAB,EMV2000094,,,,,,
N8,DILIGAN 25MG TABS,EMV1901778,,,,,,
MACAT,ATORMAC 10,KAJ2001A,,,,,,
MACO2,OLMESAR 20,KOH2001A,,,,,,
SLDUP,DUPHASTON 10MG TAB,KAVA0018,,,,,,
KNBF4,BRUFEN 400MG TAB,130808D7,,,,,,
KNBF6,BRUFEN 600MG TAB,130851D7,,,,,,
KNBF6,BRUFEN 600MG TAB,130853D7,,,,,,
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0003,,,,,,
KNCFP,CREMAFFIN PLUS SYR,130560D7,,,,,,
KNDMX,DIGENE MIX FRUIT TAB,130202D7,,,,,,
KNDMX,DIGENE MIX FRUIT TAB,130202D7,,,,,,
SLDUP,DUPHASTON 10MG TAB,KAVA0008,,,,,,
ICID4,INDERAL 40MG TAB,INB0002,,,,,,
KLPT2,PROTHIADEN 25MG TAB,ADF0009,,,,,,
KLPT7,PROTHIADEN 75MG TAB,ADF0014,,,,,,
KLZLF,ZOLEFRESH 10MG TAB,ADF0008,,,,,,
KLZLF,ZOLEFRESH 10MG TAB,ADF0033,,,,,,
KLZLF,ZOLEFRESH 10MG TAB,ADF0039,,,,,,
KLZF5,ZOLEFRESH 5MG TAB,ADF0044,,,,,,
DBULS,ULGEL LIQ(SAUNF),2008000049,,,,,,
ASFXM,FLEXON-MR TAB,DPA200003,,,,,,
BIIGV,INSUGEN - R VIAL,BF19000654,,,,,,
BIIGV,INSUGEN - R VIAL,BF19006540,,,,,,
BTISG,INSUGEN-30/70 INJ,V19ITF1050,,,,,,
CIAAT,AMLOPRES-AT TABS,SA00470,,,,,,
CSMN4,MONTAIR-4 TAB,SN00333,,,,,,
PTOF2,OFLOX 200MG TAB,SB00067,,,,,,
DRAT2,ATARAX SYRUP,LI0320003,,,,,,
DXRCM,RECLIMET TAB,E000081,,,,,,
ERGSM1,GLIMISAVE M1 TAB,GGLI20002,,,,,,
ERIF2,GLIMISAVE M2 FORTE TAB,GGLE20002,,,,,,
ERGSM2,GLIMISAVE M2 TAB,GGVL20001,,,,,,
ERGLS,GLIMISAVE M3 TAB,GGIM20001,,,,,,
FBGP2,GLYCIPHAGE TABS,20010,,,,,,
FISBS,SORBILINE SYR,E20005,,,,,,
AEFTT,FERTYL TAB,AFTL1801,,,,,,
GECP6,CALPOL 650MG TABS,EB378,,,,,,
GECPT,CALPOL TAB,EX205,,,,,,
GECPT,CALPOL TAB,EX207,,,,,,
CBOVA,OTRIVIN (A) DROPS **,20AX06,,,,,,
INCTS,CITAL SYR,CNB17ABA1,,,,,,
INTAOL,OLGARD,FI2001,,,,,,
UQMIV,METROGYL I.V.,IIW0008,,,,,,
ZYCSU,SUGER FREE GOLD **,AWSW0090,,,,,,
FTSCF,SUCRAFIL SYRUP ***,G2804,,,,,,
SGAT4,ACITROM-4MG TAB** 30 S,ACD0001,,,,,,
LGPGI,PGI TABS ***,CPT462,,,,,,
ROSRD,SARIDON TAB **,MH2206,,,,,,
CENSI,SINAREST DROPS ***,L3524,,,,,,
FTSCF,SUCRAFIL SYRUP ***,G2804,,,,,,
MDMG1,MEGALIS 10MG TAB,ATA001A,,,,,,
MDML2,MEGALIS 20MG TAB,ATB2003A,,,,,,
MACOH,OLMESAR H,KOM2001A,,,,,,
MENMD,NASIVION MINI DROPS,M55PT20003,,,,,,
CBTT2,TEGRITAL 200MG TAB,105CPAO0,,,,,,
CBTC3,TEGRITAL-CR 300 TABS,101MBAR0,,,,,,
CBTC4,TEGRITAL-CR 400 TABS,102MBAP0,,,,,,
CBTC4,TEGRITAL-CR 400 TABS,102MBAP0,,,,,,
JWMGS,MUCAINE-GEL(M) SYR,2020173E,,,,,,
LEPTT,PACITANE TAB,DG2998,,,,,,
SNOT2,OXETOL 300MG TABS **,EMX0194,,,,,,
USVCIN2,CINOD T 10/40MG TAB**,S200216A,,,,,,
USVCIN2,CINOD T 10/40MG TAB**,S200116A,,,,,,
HOAV5,AVIL 50MG TAB,0NA0003,,,,,,
HOAA1,AVIL AMP,2420003,,,,,,
BUSGA,BUSCOGAST AMP,320003,,,,,,
HOCD2,CARDACE 2.5MG,0NG003,,,,,,
HOCD5,CARDACE 5MG,0NG001,,,,,,
HOFS1,FRISIUM 10MG TAB,0NA0012,,,,,,
HOVCA,VALPARIN ALKALETS TAB,0NG003,,,,,,
FTEFT,EOFIL TAB ***,G2785,,,,,,
PPRIN,MOOV CREAM **,JJ498,,,,,,
PAMO5,MOOV CREAM**,JJ841,,,,,,
RACR5,CIFRAN 500MG TABS,AB14593,,,,,,
RACR5,CIFRAN 500MG TABS,AB16327,,,,,,
RACR5,CIFRAN 500MG TABS,AB16328,,,,,,
UCUF8,UNICARBAZAN FORTE TABS,2FU5F034,,,,,,
MRTM2,TRYPTOMER 25MG TABS,JV10017,,,,,,
ULPLC,PILANTS CAP,PL429,,,,,,
DECDEYS,DEY`S MOM SYRUP**,2880,,,,,,
WLWCT,WALACORT TAB,WTL001A,,,,,,
WLWCT,WALACORT TAB,WTL004A,,,,,,
GMDR1,DERIPHYLIN R 150MG TABS,I000033,,,,,,
CYDXT,DEXONA TAB,BEW1026,,,,,,
GMJNA,JONAC AMP,CJW1009,,,,,,
GMTBP,THROMBOPHOB ONT,I000203,,,,,,
GMTBP,THROMBOPHOB ONT,I000479,,,,,,
CIAEO,ACIVIR EYE ONT,G9042,,,,,,
ARISOFL7,ASTHALIN-ROTACAPS,SA94681,,,,,,
CICR1,CIPLAR 10MG TAB,SB91507,,,,,,
CIPD10,DYTOR 40MG TABS,SN91983,,,,,,
DRAT2,ATARAX SYRUP,LI0319111,,,,,,
DXAC4,ATOCOR-40MG TABS,E901723,,,,,,
DRNS2,NISE TAB,E901660,,,,,,
DXS51,STAMLO 5MG TAB,E901681,,,,,,
MACBUD1,BUDETROL 200 INHALER,NFC931A,,,,,,
MDDC6,DEFCORT 6MG TABS,GDB966A,,,,,,
MDRGT,REBAGEN TAB,KRD914A,,,,,,
MDTNM,TRENAXA-MF,KTB911A,,,,,,
JWMGO,MUCAINE-GEL(O) SYR,920-20458E,,,,,,
TORNB,NORMABRAIN CAP,C375F002,,,,,,
GMPLN,PRIMOLUT-N TAB,S903114,,,,,,
122338R,EPTOIN 100MG TAB,EPB9073,,,,,,
KNBF2,BRUFEN 200MG TAB,120779D7,,,,,,
KNDMT,DIGENE MINT TAB,120022D7,,,,,,
KNDOT,DIGENE ORANGE TAB,D0A9013,,,,,,
ACMGT,MAGADOL TAB,1908001541,,,,,,
ALEMBTAC,TACKEL 90 MG TABS,DT1912055C,,,,,,
DBULC,ULGEL LIQ((ELAICHI),1908001635,,,,,,
DBUAS,ULGEL-A SYR,1908001636,,,,,,
ACWKS,WIKORYL SYR,1908001504,,,,,,
ASGN1,GABANEURON 100 TABS,A190660,,,,,,
ARFLS100,FLEXON SYR,D703M099,,,,,,
ARIG1,GLIMIPREX 1MG TABS,S214M019,,,,,,
ARISOFL,OFLER 200 MG TABS,S187M039,,,,,,
BCMFF,MEFTAL FORTE TAB,ZGT19164,,,,,,
BCMFS,MEFTAL SPAS TAB,YMS19282,,,,,,
CIPAL,ALERID SYR,J490293,,,,,,
CSAR2,ASTHALIN RESPULES,L890784,,,,,,
PTAZ2,AZEE 250MG TAB,SN92047,,,,,,
PTAZ2,AZEE 250MG TAB,SN00053,,,,,,
CSBC2,BECLATE 200MG R CAP,BA00113,,,,,,
CIPCI,CIPLOX E/E DROPS,L890806,,,,,,
CIDT5,DYTOR  5MG TABS,SN91936,,,,,,
CIF4I,FORACORT 400 INH,SN92032,,,,,,
PTLF2,LEVOFLOX 250 TAB,SB91565,,,,,,
PTLF5,LEVOFLOX 500 TAB,SB91534,,,,,,
PTOF2,OFLOX 200MG TAB,SB91421,,,,,,
DXAC4,ATOCOR-40MG TABS,E901721,,,,,,
842200,STAMLO 10 TABS,E901662,,,,,,
ERGMV1,GLIMISAVE MV 1 TAB,GGMA19013,,,,,,
FBGMD,GLIMET-DS TAB,M19036,,,,,,
FBG2T,GLYCIPHAGE 250MG TAB,19018,,,,,,
FBGP8,GLYCIPHAGE 850 TAB,10038,,,,,,
GUBC5,BANOCIDE 50MG TAB,N1200,,,,,,
GUZS1,ZENTEL SYR,KB369,,,,,,
PDCD1,CALADRYL LOT**,CAZ9201,,,,,,
LYKLE,LEVOCET TABS**,GT191079,,,,,,
LYKLE,LEVOCET TABS**,GT191079A,,,,,,
CBOVA,OTRIVIN (A) DROPS **,91287V,,,,,,
INCTS,CITAL SYR,CNB24L9A1,,,,,,
ISFPS,FEBREX PLUS SYR,FCM17L9A1,,,,,,
ISFPS,FEBREX PLUS SYR,FCM9L9A1,,,,,,
ISFBP,FEBREX PLUS TAB,FAH1L97,,,,,,
INKVP,KARVOL PLUS INHCAP,KAA8L9A7,,,,,,
INSBO,SCABEX-S ONT,SBIILA4,,,,,,
IVC5L,CAL SHAKTI,SY2644,,,,,,
UQBNC,BETA-NICARDIA CAP,ABJ9007,,,,,,
UQNR2,NICARDIA-RTD 20MG T,AKG9043,,,,,,
CASFG,SUGAR FREE GOLD TABS **,AWSV2016,,,,,,
CYAT5,ATEN 50MG TAB,I904729,,,,,,
SDNNA,NAPROSYN 500MG TABS**,02N19075,,,,,,
ALEP5,P-500 MG TAB**,PFTTC19222,,,,,,
ALEP5,P-500 MG TAB**,PFTTC19223,,,,,,
CYAT2,ATEN 25MG TAB,I904266,,,,,,
JUDAR,DART TABS ***,1912083,,,,,,
PBGZM,GLIZID-M TAB,8319083,,,,,,
GEHEX,HEXIDINE MOUTHWASH ***,L90310,,,,,,
GERAT,RA THERMOSEAL ***,O90602,,,,,,
LGTF3,TYFY 300MG TAB ***,CTQ91,,,,,,
LGTF6,TYFY 650MG TAB ***,CTH98,,,,,,
FTEFT,EOFIL TAB ***,G2396,,,,,,
PDCL5,CALADRYL LOT**,CAZ9209,,,,,,
PDCD1,CALADRYL LOT**,CAZ9212,,,,,,
HMLVD,LIV-52 DROPS,20901769,,,,,,
APNRS,NEERI SYR **,NNRS739H,,,,,,
MDRMD,RABEMAC-DSR TAB,KRC929B,,,,,,
MKKMS,KETOSTAR SOAP,A6IBS573,,,,,,
MKSB5,SCABELICE LOTION,A3IBS031,,,,,,
MEDZT,ZINCOLD TAB,HZC211,,,,,,
MENAD,NASIVION-N (P) DROPS,M55NP19044,,,,,,
MR1PL,PROMOLACT CAPS,16023,,,,,,
CBTC4,TEGRITAL-CR 400 TABS,Z01MBAP9,,,,,,
PZDXD,DOLONEX-DT TAB,DJ1809,,,,,,
JWMGO,MUCAINE-GEL(O) SYR,92020459E,,,,,,
JWMGO,MUCAINE-GEL(O) SYR,920-20459E,,,,,,
LUCZ3,CZ-3 TAB**,J901994,,,,,,
SNEN,ENCORATE 500MG TAB***,ESU2073,,,,,,
USVG5,GLYCOMET 850MG TABS **,48013006,,,,,,
GRCVG,CANDID-V GEL,11192295,,,,,,
GWSL5,SENSUR LOT,59190066,,,,,,
GWSSO,SENSUR OIL,59190069,,,,,,
HOA2T,AVIL 25MG TAB,9NA0145,,,,,,
HOCD5,CARDACE 5MG,9NG025,,,,,,
HOLL5,LASILACTONE 50MG TAB,9NA0099,,,,,,
SPCXT,COFEX TAB,21TCF034,,,,,,
CIAEO,ACIVIR EYE ONT,G9042,,,,,,
RAPRAG,RINGGUARD PLUS CREAM **,JM805,,,,,,
LGTF3,TYFY 300MG TAB ***,CTQ91,,,,,,
KNCPS,CREMAFFIN PINK SYR(M.F),CFB9083,,,,,,
RAPRAG,RINGGUARD PLUS CREAM **,JM805,,,,,,
RACR2,CIFRAN 250MG TABS,AB10240,,,,,,
RACR2,CIFRAN 250MG TABS,AB10240,,,,,,
RACR5,CIFRAN 500MG TABS,AB07760,,,,,,
SUNZIN,ZOFER INJ,ESU2059,,,,,,
EDAF4,AMIFRU-40MG TAB,2JF8F020,,,,,,
EDAF4,AMIFRU-40MG TAB,2JF8F022,,,,,,
URCDAL,CORVADIL-A TAB,2173F028,,,,,,
EDDR1,DEVIRY 10MG TAB,DAA90071,,,,,,
TORR1,DILZEM SR TABS,2T15F017,,,,,,
UNIXT,XT PARA TABS,EF9014,,,,,,
RPFZ4,FLAGYL 400MG TABS **,HBH89170,,,,,,
TTLTC,LACTARE CAP ***,DFAA363,,,,,,
NCSB1,SORBITRATE 10MG TAB *** 50`S,SBB9016,,,,,,
ULGVS,GYNOVIT SYR,GT287,,,,,,
H&HDER,DERMADEW SOAP,B211,,,,,,
H&HHI,HHMITE SOAP,B055,,,,,,
H&HKZS,KZ SOAP,B169,,,,,,
WLCMD,COLIMEX DROPS,CRR9006,,,,,,
WLFCT,FLUCOLD TAB,FCR9047,,,,,,
WALLGP3,KEYLYTE SYRUP,KLR9015,,,,,,
CYAT2,ATEN 25MG TAB,I904691,,,,,,
GMDR3,DERIPHYLIN R 300MG TABS,I904264,,,,,,
CYDXT,DEXONA TAB,BEV1391,,,,,,
MICPAR,PARKIN TABS**,PNAS0037,,,,,,
CCTAT,THEO-ASTHALIN TAB,C191733,,,,,,
UBNP8,NOOTROPIL 800MG TABS,EMV2000157,,,,,,
DROM2,OMEZ-20MG CAP,E000204,,,,,,
DXS15,STAMLO 2.5MG TABS,E901576,,,,,,
DXS15,STAMLO 2.5MG TABS,E901592,,,,,,
MACAR,OLMESAR 40,KOI912A,,,,,,
MAND5,FYNAL-500MG TABS,B0AHS015,,,,,,
122338R,EPTOIN 100MG TAB,EPB9066,,,,,,
ABBLI,LIBRAX TABS,LXA9032,,,,,,
ABBLI,LIBRAX TABS,LXA9035,,,,,,
ABBLI,LIBRAX TABS,LXA9034,,,,,,
ABBUL,UDILIV TAB 300MG,140923D7,,,,,,
ACAC5,ATECARD 50MG TAB,1908001471,,,,,,
ALKSUM,SUMO-L650 TABS,19442952,,,,,,
ARFLS100,FLEXON SYR,D703L099,,,,,,
ASMC1,MIKACIN 100MG VIAL,B03L019,,,,,,
ASMC2,MIKACIN 250MG VIAL,B02L039,,,,,,
BIOB0,BASALOG 100 UNITS,19BFH30008,,,,,,
BIOIN,INSUGEN - N VIAL,BF19006044,,,,,,
BEBTA,BETT AMP,A0151919,,,,,,
BEBTA,BETT AMP,A0100220,,,,,,
BCMGT,MEFTAGESIC TABS,ZQB1936,,,,,,
BCMGT,MEFTAGESIC TABS,ZQB1940,,,,,,
BCMF5,MEFTAL 500MG TAB,HK1950,,,,,,
CIARS,ALERID SYR,J590878,,,,,,
CCART,ALERID TAB,SB91307,,,,,,
CIB2R,BUDECORT 200MG R CAP,BA93570,,,,,,
CIPCI,CIPLOX E/E DROPS,L890736,,,,,,
CIDT1,DYTOR 10MG TABS,SN91756,,,,,,
CIIBP,IBUGESIC-PLUS SYR,SE90833,,,,,,
CIIGP,IBUGESIC-PLUS TAB,O790413,,,,,,
PTOFI,OFLOX I.V.,C890695,,,,,,
CSS1I,SEROFLO 125MG  CFC  INH,SN91902,,,,,,
FISBS,SORBILINE SYR,E19020,,,,,,
GUZY1,ZYLORIC 100MG TAB,EN298,,,,,,
GUZY1,ZYLORIC 100MG TAB,EN300,,,,,,
BUSGA,BUSCOGAST AMP,319060,,,,,,
HMCTT,CYSTONE TAB,19900891,,,,,,
HMLS1,LIV-52 SYR,20901743,,,,,,
HMLS2,LIV-52 SYR,25901189,,,,,,
AJAME,MELACARE CREAM,G0548,,,,,,
HMPLO,PILEX ONT,91900333,,,,,,
HMPLT,PILEX TAB,19900884,,,,,,
INDCI,CITAL H TABS,CGL1K91Q,,,,,,
IVC5L,CAL SHAKTI,SY2282,,,,,,
IVCS1,CAL SHAKTI,SY2424,,,,,,
IVC5L,CAL SHAKTI,SY2287,,,,,,
IVCS1,CAL SHAKTI,SY2424,,,,,,
JBCIL,CILACAR 10MG TABS,KC919082,,,,,,
UQNR1,NICARDIA-RTD 10MG T,ACG9019,,,,,,
PDCD1,CALADRYL LOT**,CA9162,,,,,,
KLEC3,EPILEX CHRONO 300MG,AKE0134,,,,,,
JAICS,INDOCAP-SR CAP ***,JSR159,,,,,,
MACOH,OLMESAR H,KOM905A,,,,,,
MKASS,ACNESTAR SOAP,A5IBS1585,,,,,,
122260R,AMLOKIND- 5 MG  TAB,B0IAS229,,,,,,
122309R,ZENFLOX-OZ TABS,G0IAS034,,,,,,
MASRD,SERAX-D TAB,KW19004,,,,,,
MEDP6,PARAWEL 650 TABS,HPL185,,,,,,
MENND,NASIVION-N (A) DROPS,M55PZ19052,,,,,,
MENAD,NASIVION-N (P) DROPS,61NP19016,,,,,,
MR1TT,T-STAT 500MG TABS,19104411,,,,,,
SUZCR,ZEPTOL CR 200MG TABS **,ESU1888,,,,,,
HMLDS,LIV-52 DS TAB,72900652,,,,,,
HOAV5,AVIL 50MG TAB,9NA0030,,,,,,
HOCH2,CARDACE -H 2.5 TAB,9NG007,,,,,,
HOLST,LASIX TAB,9NA0067,,,,,,
HOTTT,TRENTAL 400MG TABS,9NA0015,,,,,,
HOVC2,VALPARIN CHRONO 200,9NG022,,,,,,
LUCZ3,CZ-3 TAB**,J901879,,,,,,
DUDLT,DUVADILAN 10MG TAB,DAZA9027,,,,,,
USVG5,GLYCOMET 850MG TABS **,48012776,,,,,,
GEHX8,HEXIDINE MOUTHWASH ***,L90297,,,,,,
PAMOV,MOOV CREAM **,JA104,,,,,,
PAMOV,MOOV CREAM **,JA106,,,,,,
PPRIN,MOOV CREAM **,JG985,,,,,,
SUNZO4,ZOFER 4MG TABS,EMU3043,,,,,,
RAZFO,ZOLE-F OINTMENT,G82719,,,,,,
URL5T,LOSAR 50MG TAB,8FY8F005,,,,,,
URL5T,LOSAR 50MG TAB,8FY8F005,,,,,,
JUDAR,DART TABS ***,1911076,,,,,,
FTFBT,FOURTS-B TAB ***,G1678,,,,,,
FOTSU,SUCRAFIL-O SYRUP ***,G2244,,,,,,
H&HDAC,DERMADEW ACNE SOAP,B115,,,,,,
H&HDAC,DERMADEW ACNE SOAP,B115,,,,,,
H&HDEB,DERMADEW BABY SOAP,B128,,,,,,
